“P” Series,Unit,“W” Series,Unit,“200” Series,Unit,“300” Series,Unit,“400” Series,Unit,“500” Series,Unit,“600” Series,Unit,“700” Series,Unit,“800” Series,Unit,“900” Series,Unit,Specials,Unit
P 1-6,1.25,W 015 (4.2),1.25,202 (4.2),1.25,317 (4.2),1.6,404,1.5,512,1,607,2,700,5,830,1.1,900,5,CH 102 (4.2),1.5
P 11 (3.9),1.5,W 020 (4.2),1.25,212 (3.6),1.2,318,2.3,406,1.5 or 1.75,513,1,607 “A”,2,701,1.7,869,1,901,3,CH 103 (4.2),2
P 12 (3.9),1.75,W 104 (4.2),1.5,220,1.1,319,2.25,422,1.25,519,1.45,612,1.7,703,2.5,871,1,902,1.5,HAWK (4.2),1.5
P 13 (4.2),1.75,W 106 (4.2),1.5,221,1,321,1.5,424,1.25,521,1.25,613,1.3,703 “A”,1.75,878,1,903,4,KNUCKLE (254),1.75
P 14 (4.2),1.75,W 107 (4.2),1.5,223 (4.2),1.5,323,1.25,425,1.25,524,1.5,614,1.25,705,1.75,887,1,904,2.5 or 2.75,VIC 120,1.5
P 15 (3.9),1.5,W 110 (4.2),1.5,225,1.3,365,1,427,1.25,526,1.25 or 1.26,616,0.75,705 “L”,2.5,888,1,904 “S”,1.2 or 1.3,OVOLO,2.5
P 16 (4.2),1.75,W 111 (4.2),1.5,227,1.25,366,1,428,1.15,527,1.5,617 (4.2),1.5,706,1.5,,,905,1.5,HEART,1.5
,,W 112 (4.2),1.5,230,2,366 “A”,1.11,429,1,531,1.25,618,1.5,707,1.75,,,906,2,PA “S”,1.75
,,W 115 (4.2),1.5,231,1.25,367,1,429 “A”,1.5,533,1.4,621,1,708,2,,,908,1.5,"PA “L""",2
,,,,233,1.5,368,1,439,1,536,1.25,624,1,709,1.75 or 1.9,,,909,2 or 15/6,SP CORB MLD,3
,,,,236,1.25,371,0.8,440,1.5,537,1.25,627,1,710,4,,,910,2.5,ESJAY A,2.7
,,,,237,1.5,392,1.2,441,1,539,1.11,628,1,711,1.5,,,917 (4.2),3,ESJAY B,2
,,,,239,1.5,,,442,0.75,540 (4.2),1.2,629,1,712,1.25,,,918,1.8,ESJAY C,1.5
,,,,240,1.25,,,445,1.25,546,1.25,630,1.2,713,1.75,,,919,1.3,C118,1.2
,,,,242,0.8,,,448,1.5,549,1.25,631,1.25,714,1.75,,,920,1.5,H,2.5
,,,,245,1.2,,,450,1.25,559,1.5,632,1,715,1.25,,,920 “S”,1.3,D,3.5
,,,,250,1.4,,,464,1.5,565,3,633,1.5,715 (4.2),1.4,,,921,2,HP 2227,2.75
,,,,252,1.5,,,469 (4.4),1.6,567,2.5,634,1,716 (4.2),2.25,,,922,6,KVM,3.75
,,,,258,3,,,482,2,574 (4.2),1.5,635,1.1,716 (3.6),2,,,923,3,DOM,3
,,,,289 (3.6),1.5,,,483,2,575 (4.2),1.5,636,1,717,2.5,,,924,2.5,C1,3
,,,,290,1.25,,,484,1.25,576,1,639,1,718,1.2,,,925,3,C2,2.25
,,,,,,,,485,1.8,577,1,640,1,720,4,,,927,2,M1,2.25
,,,,,,,,488,1.75,578,1.5,641,1,721,2.5,,,928,1.5,A1,2.3
,,,,,,,,489,1.5,580,1.2,642,1,721 “B”,2.5,,,929,4,CONERTO,2.25
,,,,,,,,490 “A”,1.11,585,1.2,647,1.1,722,??,,,930,2.5,,
,,,,,,,,491,1.2 or 2,585 “A”,1.5,648,0.75,723 (4.2),2,,,931,3.5,,
,,,,,,,,492,1.1,586,1,649,1,724,1.5,,,932,4,,
,,,,,,,,494 (4.2),1.5,587,1.1,650,1,727 (4.2),3,,,950 “L”,2.5,,
,,,,,,,,495,1,588,1.2,651,6.5,727 (3.6),2.5,,,951 “S”,2,,
,,,,,,,,,,590,1,653,1,729,1.25,,,953,10 or 12,,
,,,,,,,,,,591,1.25,654,4,744,1.43,,,954,2.75 or 2.5,,
,,,,,,,,,,592,1.1,655,2,745,1.75,,,956,3.5,,
,,,,,,,,,,593,1.3,656,1.5,747,1.11,,,957,2,,
,,,,,,,,,,596,1.75,661,4,748,1.1,,,958,1.75,,
,,,,,,,,,,597,1.75,662,2,,,,,959,1.5,,
,,,,,,,,,,598 (4.2),2.4,671,1.4,,,,,960,1.5,,
,,,,,,,,,,599,2.5,672,1.25,,,,,,,,
,,,,,,,,,,,,673,1.25,,,,,,,,
,,,,,,,,,,,,676,1.25,,,,,,,,
,,,,,,,,,,,,676 “A”,2.25,,,,,,,,
,,,,,,,,,,,,677,4.5,,,,,,,,
,,,,,,,,,,,,678 (4.2),2.75,,,,,,,,
,,,,,,,,,,,,679,1.5,,,,,,,,
,,,,,,,,,,,,680,1.1,,,,,,,,
,,,,,,,,,,,,681,1.25,,,,,,,,
,,,,,,,,,,,,682,1 or 1.25,,,,,,,,
,,,,,,,,,,,,685,2.5,,,,,,,,
,,,,,,,,,,,,686,7 or 12,,,,,,,,
,,,,,,,,,,,,687,1.75,,,,,,,,
,,,,,,,,,,,,688,1.4,,,,,,,,
,,,,,,,,,,,,689,1.3,,,,,,,,
,,,,,,,,,,,,690,1.2,,,,,,,,
,,,,,,,,,,,,691,3,,,,,,,,
,,,,,,,,,,,,692,1,,,,,,,,
,,,,,,,,,,,,693 (4.2),2,,,,,,,,
,,,,,,,,,,,,694 (4.2),1.5,,,,,,,,
,,,,,,,,,,,,695 (4.2),1.25,,,,,,,,
,,,,,,,,,,,,696,9,,,,,,,,
,,,,,,,,,,,,696 “A”,2.5,,,,,,,,
,,,,,,,,,,,,697,1.25,,,,,,,,
,,,,,,,,,,,,698,1,,,,,,,,
,,,,,,,,,,,,699,2.25,,,,,,,,
